theta_summer_deg,theta_winter_deg,cleaning_interval_days,buffer_setpoint_c,lifetime_yield_gwh,physical_water_m3_per_year,thermal_protection_proxy_percent
28.000000133464876,62.000000034948904,7.000000458577006,46.24275217170701,279.945577634019,27437.14105970829,82.4
28.000000146554648,62.000000034948904,7.000000458577006,46.24275217170701,279.945577634019,27437.14105970829,82.4
28.00000124762038,62.00000000346409,7.0538574701452195,37.16363228286246,279.9286940593027,27227.655337930446,78.85454035357807
28.000000066501343,61.999999915159684,7.115015712047779,36.21309106638413,279.90952163000316,26993.615723825726,77.66636383298017
28.000000061448286,62.000000036073686,7.231170336520322,38.45597398732631,279.87310844583794,26560.01602258208,80.46996748415789
28.000000476238725,62.00000004107862,7.26964679715065,35.80354765825223,279.8610465029464,26419.4403606071,77.15443457281529
28.000000316105428,61.99999995824951,7.302792498048498,35.82431289314254,279.8506556940006,26299.52857777674,77.18039111642818
27.999999227963663,61.999999922670234,7.45876764984745,31.317461692311767,279.80175921696855,25749.56199418923,71.54682711538972
27.999999074209896,61.99999988569857,7.536924657601313,38.391977049371874,279.77725786344877,25482.542114348886,80.38997131171485
28.00000012017099,61.999999915159684,7.63107022143919,36.25621363566798,279.74774427524795,25168.160484281096,77.72026704458499
28.000012570013112,62.00000002613561,7.707218683730121,38.07247042305275,279.72387257832537,24919.495330453927,79.99058802881595
28.003368803827303,61.99999999336351,7.709822322139406,37.012888805317,279.7230500176377,24911.079915354665,78.66611100664625
27.996133274922,61.999999915159684,7.8058670560672905,36.16869189534063,279.6929390460857,24604.56969360206,77.6108648691758
28.000009225422403,61.99999991454887,7.996515246925597,30.72345903981059,279.6331813202106,24017.96208340138,70.80432379976324
27.999999232724967,61.999999922670234,8.062733115314444,39.46831603545085,279.6124227542721,23820.706608184653,81.73539504431356
28.006113593630392,62.00000007568607,8.138402871171873,34.60953698879839,279.5886802267565,23599.224938878542,75.661921235998
28.006113593630392,62.00000007568607,8.186023464288954,31.676391780851187,279.5737517010479,23461.94105573365,71.995489726064
28.003348528815643,61.9999999893156,8.275033055037973,37.07477534382967,279.54586281316,23209.574961524875,78.7434691797871
28.000185816389777,61.99999982730081,8.348778256325113,30.229163411206002,279.5227507615423,23004.56355449296,70.18645426400751
28.000708010695565,61.99999992655492,8.421135494532162,33.43392313688009,279.50006731042123,22806.900580652626,74.19240392110012
27.999975143965948,61.99999973694914,8.439878192697655,30.742818921167938,279.49419196266814,22756.252592149256,70.82852365145993
27.99988571812636,61.99999990765894,8.512498348581426,37.27988960861842,279.4714263437347,22562.118914478975,78.99986201077303
28.001816048467965,61.999999967540894,8.580922538373828,38.126856719049,279.4499742845336,22382.208805767557,80.05857089881125
28.00000438140381,61.99999991727627,8.622288543970422,32.36062430404604,279.43700834466057,22274.82866301289,72.85078038005756
27.99904407176312,61.99999992738014,8.844630663387147,30.005152961489145,279.3673060501311,21714.869428640286,69.90644120186144
28.00000032018115,62.00000004474276,8.888042567438365,30.128334608696896,279.3536974111365,21608.80739968754,70.06041826087113
28.000000140319294,61.999999948198585,8.890534382342068,34.03635596487454,279.3529162548511,21602.750941659924,74.94544495609318
27.999999735144453,61.9999999482524,9.05324442193982,30.338434160574323,279.3019084653265,21214.494058567318,70.3230427007179
27.99989381551487,61.99999999377895,9.12292974813277,38.93198153513317,279.2800628835486,21052.447547270633,81.06497691891647
28.000000140319294,62.000000337558056,9.164430541838302,34.30985130117034,279.26705285213956,20957.112296633168,75.28731412646293
27.999999142133696,61.99999992655492,9.265235065360987,32.481159122798985,279.2354517540652,20729.101706014524,73.00144890349874
27.999057938790948,62.00000004559617,9.301592208786488,31.77119583425644,279.2240536979588,20648.077843982017,72.11399479282055
27.999976256449425,61.99999973694914,9.403517970955075,30.742818921167938,279.1921015993236,20424.27106464,70.82852365145993
28.000000163039363,62.00000003418759,9.499581722659764,32.30699891093021,279.16198668085417,20217.732275713886,72.78374863866277
27.995588459257554,62.000000033809776,9.64966337572661,32.30699891093021,279.11492688609394,19903.284966719173,72.78374863866277
28.000000119692956,61.99999991172168,9.656522976043144,38.67951762882591,279.1127873417102,19889.146484348603,80.74939703603239
28.000000514809308,61.999999909368455,9.770040396340995,36.38313962577977,279.0772008917513,19658.05587374326,77.87892453222472
27.99997595238131,61.999998851195464,9.883606816791149,36.48331608499935,279.0415990804649,19432.17729723034,78.0041451062492
28.000000155926408,62.000000389447905,9.950906002038874,39.86744600878193,279.02050153398284,19300.755123266987,82.23430751097742
28.000012867236205,61.99999988029017,10.120132373458118,38.60477661501009,278.96745094674367,18978.0126299249,80.65597076876261
27.999036370319597,62.00000038978136,10.30956211431182,31.89503953267729,278.90806630987504,18629.307226674617,72.26879941584662
28.00000032018115,62.00000004474276,10.35297401836295,31.851275285513605,278.8944576782878,18551.191151387557,72.21409410689202
28.000000325847548,62.000000041471836,10.640803401469594,31.851275285513605,278.8042263647881,18049.38901262613,72.21409410689202
27.99996815031172,62.00000000799805,10.70807078718031,34.592779414350325,278.78313878621765,17936.003956000557,75.6409742679379
28.00000031847469,61.999999957713065,10.864306464200029,39.85291906660267,278.7341606379895,17678.072745174715,82.21614883325334
27.99997595238131,62.000020977447484,11.081798404678057,31.884942797847415,278.66597933029135,17331.121988189574,72.25617849730928
28.00000015474434,62.000000036027664,11.116070536379631,35.07838697574519,278.6552353987398,17277.688133719923,76.24798371968149
28.003509174945705,62.00000007893626,11.211227876818924,37.84801323499581,278.6253977676573,17131.040605919356,79.71001654374477
27.99999951753216,61.99999998846681,11.392904689869757,30.914370290372,278.56845096755563,16857.860679794347,71.042962862965
28.00000539593531,61.99999999942925,11.42930180841186,37.464820322567725,278.557040875289,16804.176074748997,79.23102540320966
27.999993780244655,61.99999997754752,11.809540099095816,37.42578642203352,278.4378403960241,16263.122728606922,79.1822330275419
28.000000502184296,61.99999990824692,11.922564809449497,35.7373896675934,278.40240840517976,16108.949967525321,77.07173708449176
27.995351911012325,61.99999991414505,12.147366693547518,39.8863035258145,278.33192348574056,15810.83413757643,82.25787940726812
27.99994020576151,61.99999982727481,12.34952747289922,39.28875749989455,278.2685603522281,15552.012044304665,81.5109468748682
27.9955285019797,61.999999826896996,12.499609125929531,39.28875749989455,278.22150029788116,15365.280471177733,81.5109468748682
28.00053549756838,61.99999993115355,12.613418251150483,39.38966951041278,278.18583336781217,15226.641674431277,81.63708688801599
28.000041450159866,62.00000003715363,12.704370400178965,31.042215079690905,278.15732103825917,15117.632275369937,71.20276884961363
28.003509174945705,62.00000007797802,12.94767793756554,31.953210183120078,278.0810399809096,14833.547831983815,72.3415127289001
28.00008187819106,61.9999999482524,13.072324197449168,30.40288063189435,278.0419716084183,14692.108082622148,70.40360078986794
28.001870864913315,62.00000003715363,13.425025854839253,31.053672453754338,277.93140161586666,14306.117699636989,71.21709056719293
28.001849587558244,61.99999990891358,13.548678760315571,35.75869654879155,277.8926378481891,14175.551977994246,77.09837068598944
28.001791170573178,62.00000003715363,13.770603710252228,37.78361784570789,277.82306696086874,13947.100943512822,79.62952230713486
28.000000123707036,62.00000002310741,13.861536858435915,35.84885943762051,277.79456221195653,13855.606485879327,77.21107429702565
27.99996570174815,62.00000000799805,14.247773859488792,32.048815208753176,277.6734812029954,13480.000587747334,72.46101901094147
27.997990531370753,61.99999998846681,14.623116376343663,38.58086020887356,277.5558132535662,13133.999282854804,80.62607526109196
27.999999974560232,62.00000027426401,14.938711598379728,38.16215086639139,277.45687989959225,12856.530413294216,80.10268858298924
27.999887411340215,62.000000349483514,15.102022821692987,37.27988960861842,277.40568363861973,12717.50163985446,78.99986201077303
28.00000046110257,62.000000045223146,15.462771336932587,39.628127739381945,277.2925929944419,12420.800632372266,81.93515967422744
28.000002028090588,61.9999999482524,15.612526952067359,35.93497333957592,277.24564627304625,12301.660108555847,77.3187166744699
27.986225104005772,61.99999992622947,15.737482163833961,34.09673280960703,277.20636900393606,12203.985237318953,75.0209160120088
28.000001753680525,61.99999994202981,15.794216458012624,30.81417750322935,277.1886886317053,12160.147387530918,70.91772187903669
28.000000374187714,61.999999915621444,16.06508126654066,34.49641341810176,277.10377552384233,11955.121596553046,75.5205167726272
28.000000130326143,61.99999991382694,16.662899349995953,35.490309528523255,276.9163661971024,11526.205371938866,76.76288691065407
28.000019418098713,62.000000047114874,16.706526184049487,35.17234991015338,276.9026896691604,11496.10624519709,76.36543738769173
27.995616956326025,61.99999987797951,16.98045967419517,32.96181050277235,276.8168039280185,11310.647867317124,73.60226312846544
28.000001753680525,61.9999999482524,17.201493434228365,30.822662913695048,276.7475229360725,11165.309613049629,70.92832864211881
28.000094740199838,62.00000005992082,17.55835763012213,32.0291420925229,276.63564997085325,10938.38068718413,72.43642761565363
28.000000409053715,62.000000142843035,18.05862843652954,31.183242560627264,276.4788206365749,10635.359195468867,71.37905320078409
28.000000145159866,61.999997417958134,18.37936292554369,34.57177594792296,276.3782739379765,10449.763725655284,75.6147199349037
28.000000118250657,61.99999992643581,18.40892589405106,39.14081578554404,276.36900627583606,10432.982407847336,81.32601973193006
28.000000424472866,61.999999819018655,18.508827900752443,38.185799565017874,276.3376881067573,10376.670042525608,80.13224945627235
28.000000055335914,61.99999992655492,18.618331675130598,39.41049337072545,276.30335989019846,10315.639626108057,81.66311671340682
28.00000005776766,61.9999999942998,18.871437573298877,39.7333916799766,276.2240140034105,10177.28507719756,82.06673959997076
28.000000325808127,62.00000037496071,19.206314091250132,31.80187027395394,276.1190339358827,9999.836464587303,72.15233784244244
27.999964941595255,62.00000001569774,19.505462942380422,33.798947377687554,276.02525409425124,9846.472271247783,74.64868422210945
28.000000154704917,62.00000036951655,19.681580832112694,35.23030065787442,275.970043093364,9758.36248309042,76.43787582234303
27.999976788673454,61.999999942822285,20.35810468949355,31.700810577451033,275.7579603807098,9434.080575247199,72.0260132218138
